data_anomaly,display,asset_id,asset,symbol,events,first_dt,last_dt
eth_whale_dump,ETH Whale Dump,1681,ethereum,ETH/USDT,87,2023-09-11 07:42:35,2026-05-25 15:37:47
price_network_activity_divergence,Price/Network Activity Divergence,3630,lido-dao,LDO/USDT,19,2023-01-04 00:00:00,2025-01-22 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,2484,bitcoin-cash,BCH/USDT,18,2023-03-15 00:00:00,2025-03-06 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,5896,bonk1,BONK/USDT,18,2023-12-16 00:00:00,2026-05-08 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,2695,dogecoin,DOGE/USDT,16,2023-07-15 00:00:00,2025-10-02 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,1370,0x,ZRX/USDT,15,2023-01-15 00:00:00,2026-05-08 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,2623,cardano,ADA/USDT,15,2023-01-10 00:00:00,2025-02-13 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,1610,decentraland,MANA/USDT,14,2023-01-16 00:00:00,2026-05-08 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,2369,aave,AAVE/USDT,14,2023-03-13 00:00:00,2026-03-06 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,2053,xrp,XRP/USDT,13,2023-03-28 00:00:00,2025-02-15 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,2029,quant,QNT/USDT,12,2023-02-16 00:00:00,2025-05-04 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,2716,ethereum-name-service,ENS/USDT,12,2023-01-28 00:00:00,2026-03-06 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,2666,curve,CRV/USDT,9,2023-01-10 00:00:00,2025-01-03 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,3614,1inch,1INCH/USDT,9,2023-02-04 00:00:00,2024-11-25 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,4442,apecoin-ape,APE/USDT,9,2023-01-03 00:00:00,2024-12-13 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,5736,pepe,PEPE/USDT,9,2023-09-30 00:00:00,2026-03-06 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,1452,bitcoin,BTC/USDT,8,2023-01-14 00:00:00,2026-05-08 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,1681,ethereum,ETH/USDT,8,2023-01-14 00:00:00,2024-11-23 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,3085,uniswap,UNI/USDT,8,2023-03-14 00:00:00,2024-12-05 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,3511,axie-infinity,AXS/USDT,8,2023-03-18 00:00:00,2026-04-25 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,5801,worldcoin-org,WLD/USDT,8,2023-11-14 00:00:00,2026-01-29 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,1526,chainlink,LINK/USDT,7,2023-06-22 00:00:00,2026-05-08 00:00:00
price_network_activity_divergence,Price/Network Activity Divergence,1437,basic-attention-token,BAT/USDT,6,2023-03-15 00:00:00,2026-05-08 00:00:00
project_in_trends,Project in Trends,1452,bitcoin,BTC/USDT,274,2025-01-03 23:00:00,2026-05-27 08:00:00
project_in_trends,Project in Trends,1681,ethereum,ETH/USDT,137,2025-01-13 20:00:00,2026-05-25 22:00:00
project_in_trends,Project in Trends,3169,solana,SOL/USDT,114,2025-01-05 02:00:00,2026-05-06 08:00:00
project_in_trends,Project in Trends,2053,xrp,XRP/USDT,61,2025-01-02 16:00:00,2026-04-18 14:00:00
project_in_trends,Project in Trends,2262,binance-coin,BNB/USDT,36,2025-02-09 08:00:00,2026-03-02 20:00:00
project_in_trends,Project in Trends,2695,dogecoin,DOGE/USDT,35,2025-01-01 05:00:00,2026-02-15 16:00:00
project_in_trends,Project in Trends,7210,official-trump,TRUMP/USDT,24,2025-01-19 11:00:00,2025-03-08 12:00:00
project_in_trends,Project in Trends,6995,bome-trump,BOME/USDT,19,2025-01-07 06:00:00,2025-01-20 02:00:00
project_in_trends,Project in Trends,7171,trump-wif-hat,WIF/USDT,17,2025-01-07 05:00:00,2025-01-19 12:00:00
project_in_trends,Project in Trends,2462,litecoin,LTC/USDT,15,2025-01-10 17:00:00,2026-01-16 04:00:00
project_in_trends,Project in Trends,2369,aave,AAVE/USDT,13,2025-03-16 17:00:00,2026-04-21 17:00:00
project_in_trends,Project in Trends,1526,chainlink,LINK/USDT,10,2025-03-15 15:00:00,2025-08-19 15:00:00
project_in_trends,Project in Trends,3073,tron,TRX/USDT,10,2025-03-19 08:00:00,2026-03-06 16:00:00
project_in_trends,Project in Trends,5736,pepe,PEPE/USDT,9,2025-01-01 00:00:00,2026-04-12 16:00:00
project_in_trends,Project in Trends,5766,sui,SUI/USDT,8,2025-01-04 13:00:00,2026-01-28 22:00:00
project_in_trends,Project in Trends,2623,cardano,ADA/USDT,7,2025-02-11 18:00:00,2025-08-15 01:00:00
project_in_trends,Project in Trends,3085,uniswap,UNI/USDT,7,2025-01-11 06:00:00,2026-02-12 10:00:00
project_in_trends,Project in Trends,3139,zcash,ZEC/USDT,7,2025-11-01 17:00:00,2026-05-06 18:00:00
social_dev_score,Social Dev Score,2462,litecoin,LTC/USDT,15,2024-01-19 00:00:00,2026-04-25 00:00:00
social_dev_score,Social Dev Score,2723,ethereum-classic,ETC/USDT,10,2025-04-28 00:00:00,2026-03-06 00:00:00
social_dev_score,Social Dev Score,2695,dogecoin,DOGE/USDT,9,2025-07-16 00:00:00,2026-04-18 00:00:00
social_dev_score,Social Dev Score,1681,ethereum,ETH/USDT,7,2023-01-01 00:00:00,2023-04-25 00:00:00
social_dev_score,Social Dev Score,1452,bitcoin,BTC/USDT,6,2023-01-01 00:00:00,2023-04-23 00:00:00
social_dev_score,Social Dev Score,3169,solana,SOL/USDT,6,2023-01-02 00:00:00,2023-12-11 00:00:00
social_dev_score,Social Dev Score,2671,dash,DASH/USDT,4,2025-07-15 00:00:00,2026-05-06 00:00:00
social_dev_score,Social Dev Score,2623,cardano,ADA/USDT,3,2023-01-01 00:00:00,2023-04-24 00:00:00
social_dev_score,Social Dev Score,2262,binance-coin,BNB/USDT,2,2024-07-05 00:00:00,2025-05-14 00:00:00
social_dev_score,Social Dev Score,3139,zcash,ZEC/USDT,2,2025-07-15 00:00:00,2025-07-16 00:00:00
social_dev_score,Social Dev Score,3291,polkadot-new,DOT/USDT,2,2023-02-08 00:00:00,2023-02-10 00:00:00
